Message,Response,Sentiment
project is done!,Great work! Proud of you.!,Positive
project is done.,Great work! Proud of you.,Positive
project is done,Great work! Proud of you..,Positive
project is done bro,Great work! Proud of you. Let me know if you need more help.,Positive
project is done dear,Great work! Proud of you.!,Positive
project is done okay,Great work! Proud of you. Let me know if you need more help.,Positive
project is done please,Great work! Proud of you.,Positive
i have a meeting!,Good luck! Let me know if you need anything..,Neutral
i have a meeting bro,Good luck! Let me know if you need anything. ❤️,Neutral
i have a meeting now,Good luck! Let me know if you need anything.,Neutral
i have a meeting,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting?,Good luck! Let me know if you need anything. 😊,Neutral
i have a meeting.,Good luck! Let me know if you need anything. ❤️,Neutral
i have a meeting dear,Good luck! Let me know if you need anything..,Neutral
i have a meeting.,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting dear,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting dear,Good luck! Let me know if you need anything. 😊,Neutral
i have a meeting?,Good luck! Let me know if you need anything.!,Neutral
i have a meeting bro,Good luck! Let me know if you need anything. 😊,Neutral
i have a meeting dear,Good luck! Let me know if you need anything.,Neutral
i have a meeting!,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting?,Good luck! Let me know if you need anything.,Neutral
i have a meeting again,Good luck! Let me know if you need anything. 😊,Neutral
i have a meeting bro,Good luck! Let me know if you need anything. Let me know if you need more help.,Neutral
i have a meeting.,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting.,Good luck! Let me know if you need anything. ❤️,Neutral
i have a meeting now,Good luck! Let me know if you need anything.,Neutral
i have a meeting?,Good luck! Let me know if you need anything.!,Neutral
i have a meeting please,Good luck! Let me know if you need anything. 😊,Neutral
i have a meeting again,Good luck! Let me know if you need anything..,Neutral
i have a meeting!,Good luck! Let me know if you need anything.,Neutral
i have a meeting please,Good luck! Let me know if you need anything.,Neutral
i have a meeting bro,Good luck! Let me know if you need anything..,Neutral
i have a meeting?,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting!,Good luck! Let me know if you need anything. 👍,Neutral
i have a meeting,Good luck! Let me know if you need anything..,Neutral
i have a meeting,Good luck! Let me know if you need anything. ❤️,Neutral
can i take a leave dear,"Sure, please submit a leave request. 👍",Neutral
can i take a leave.,"Sure, please submit a leave request. ❤️",Neutral
can i take a leave!,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
can i take a leave okay,"Sure, please submit a leave request.",Neutral
can i take a leave bro,"Sure, please submit a leave request. 😊",Neutral
can i take a leave please,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
can i take a leave,"Sure, please submit a leave request.",Neutral
can i take a leave please,"Sure, please submit a leave request. ❤️",Neutral
can i take a leave okay,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
can i take a leave again,"Sure, please submit a leave request. 👍",Neutral
can i take a leave bro,"Sure, please submit a leave request. 👍",Neutral
can i take a leave!,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
can i take a leave okay,"Sure, please submit a leave request. 😊",Neutral
can i take a leave,"Sure, please submit a leave request. ❤️",Neutral
can i take a leave?,"Sure, please submit a leave request.",Neutral
can i take a leave please,"Sure, please submit a leave request.!",Neutral
can i take a leave please,"Sure, please submit a leave request.",Neutral
can i take a leave,"Sure, please submit a leave request. ❤️",Neutral
can i take a leave now,"Sure, please submit a leave request. 👍",Neutral
can i take a leave.,"Sure, please submit a leave request.",Neutral
can i take a leave bro,"Sure, please submit a leave request. 😊",Neutral
can i take a leave again,"Sure, please submit a leave request.!",Neutral
can i take a leave please,"Sure, please submit a leave request.!",Neutral
can i take a leave please,"Sure, please submit a leave request. 😊",Neutral
can i take a leave again,"Sure, please submit a leave request. 👍",Neutral
can i take a leave!,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
can i take a leave now,"Sure, please submit a leave request. 😊",Neutral
can i take a leave,"Sure, please submit a leave request. ❤️",Neutral
can i take a leave okay,"Sure, please submit a leave request. 😊",Neutral
can i take a leave please,"Sure, please submit a leave request. Let me know if you need more help.",Neutral
book a flight!,Where to and when would you like to fly? 😊,Neutral
book a flight again,Where to and when would you like to fly? ❤️,Neutral
book a flight?,Where to and when would you like to fly? 👍,Neutral
book a flight!,Where to and when would you like to fly?,Neutral
book a flight?,Where to and when would you like to fly?!,Neutral
book a flight?,Where to and when would you like to fly? Let me know if you need more help.,Neutral
book a flight,Where to and when would you like to fly? 👍,Neutral
book a flight please,Where to and when would you like to fly?!,Neutral
book a flight!,Where to and when would you like to fly? 😊,Neutral
book a flight,Where to and when would you like to fly? Let me know if you need more help.,Neutral
book a flight.,Where to and when would you like to fly?.,Neutral
book a flight?,Where to and when would you like to fly?!,Neutral
book a flight now,Where to and when would you like to fly? ❤️,Neutral
book a flight!,Where to and when would you like to fly? Let me know if you need more help.,Neutral
book a flight?,Where to and when would you like to fly?,Neutral
book a flight!,Where to and when would you like to fly? 😊,Neutral
book a flight okay,Where to and when would you like to fly? ❤️,Neutral
book a flight bro,Where to and when would you like to fly?.,Neutral
book a flight now,Where to and when would you like to fly?!,Neutral
book a flight again,Where to and when would you like to fly?.,Neutral
book a flight dear,Where to and when would you like to fly? ❤️,Neutral
book a flight!,Where to and when would you like to fly? ❤️,Neutral
book a flight please,Where to and when would you like to fly?,Neutral
book a flight dear,Where to and when would you like to fly? 👍,Neutral
book a flight bro,Where to and when would you like to fly?,Neutral
book a flight.,Where to and when would you like to fly? 😊,Neutral
book a flight now,Where to and when would you like to fly?,Neutral
book a flight bro,Where to and when would you like to fly? ❤️,Neutral
book a flight,Where to and when would you like to fly?.,Neutral
book a flight please,Where to and when would you like to fly?,Neutral
what is the capital of japan.,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan now,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan okay,The capital of Japan is Tokyo.,Neutral
what is the capital of japan.,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan dear,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan now,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan.,The capital of Japan is Tokyo.!,Neutral
what is the capital of japan!,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan bro,The capital of Japan is Tokyo..,Neutral
what is the capital of japan again,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan dear,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan please,The capital of Japan is Tokyo.!,Neutral
what is the capital of japan dear,The capital of Japan is Tokyo.!,Neutral
what is the capital of japan dear,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan again,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan?,The capital of Japan is Tokyo..,Neutral
what is the capital of japan.,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan okay,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan please,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan bro,The capital of Japan is Tokyo.,Neutral
what is the capital of japan.,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan dear,The capital of Japan is Tokyo. Let me know if you need more help.,Neutral
what is the capital of japan okay,The capital of Japan is Tokyo. 👍,Neutral
what is the capital of japan okay,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan now,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan?,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan!,The capital of Japan is Tokyo. 😊,Neutral
what is the capital of japan?,The capital of Japan is Tokyo. ❤️,Neutral
what is the capital of japan.,The capital of Japan is Tokyo.!,Neutral
what is the capital of japan?,The capital of Japan is Tokyo.!,Neutral
show me some shoes now,What kind are you looking for? 😊,Neutral
show me some shoes again,What kind are you looking for?.,Neutral
show me some shoes okay,What kind are you looking for? ❤️,Neutral
show me some shoes again,What kind are you looking for?,Neutral
show me some shoes.,What kind are you looking for?.,Neutral
show me some shoes again,What kind are you looking for? Let me know if you need more help.,Neutral
show me some shoes.,What kind are you looking for? 👍,Neutral
show me some shoes okay,What kind are you looking for? 😊,Neutral
show me some shoes again,What kind are you looking for? 😊,Neutral
show me some shoes bro,What kind are you looking for? 😊,Neutral
show me some shoes.,What kind are you looking for?.,Neutral
show me some shoes bro,What kind are you looking for?.,Neutral
show me some shoes please,What kind are you looking for?,Neutral
show me some shoes again,What kind are you looking for?!,Neutral
show me some shoes!,What kind are you looking for?!,Neutral
show me some shoes again,What kind are you looking for? ❤️,Neutral
show me some shoes.,What kind are you looking for?,Neutral
show me some shoes!,What kind are you looking for? 😊,Neutral
show me some shoes please,What kind are you looking for? ❤️,Neutral
show me some shoes please,What kind are you looking for?.,Neutral
show me some shoes?,What kind are you looking for? 😊,Neutral
show me some shoes?,What kind are you looking for? Let me know if you need more help.,Neutral
show me some shoes?,What kind are you looking for? 👍,Neutral
show me some shoes bro,What kind are you looking for?,Neutral
show me some shoes okay,What kind are you looking for?.,Neutral
show me some shoes okay,What kind are you looking for?.,Neutral
show me some shoes.,What kind are you looking for? ❤️,Neutral
show me some shoes now,What kind are you looking for?.,Neutral
show me some shoes dear,What kind are you looking for? 👍,Neutral
show me some shoes?,What kind are you looking for?.,Neutral
i feel sick again,I'm sorry. Please consult a doctor if it continues..,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. Let me know if you need more help.,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick dear,I'm sorry. Please consult a doctor if it continues. Let me know if you need more help.,Negative
i feel sick again,I'm sorry. Please consult a doctor if it continues.,Negative
i feel sick!,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick now,I'm sorry. Please consult a doctor if it continues..,Negative
i feel sick,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick dear,I'm sorry. Please consult a doctor if it continues.!,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues..,Negative
i feel sick.,I'm sorry. Please consult a doctor if it continues.,Negative
i feel sick now,I'm sorry. Please consult a doctor if it continues. Let me know if you need more help.,Negative
i feel sick dear,I'm sorry. Please consult a doctor if it continues..,Negative
i feel sick bro,I'm sorry. Please consult a doctor if it continues.!,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. Let me know if you need more help.,Negative
i feel sick.,I'm sorry. Please consult a doctor if it continues.,Negative
i feel sick.,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick again,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick again,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick bro,I'm sorry. Please consult a doctor if it continues.!,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
i feel sick okay,I'm sorry. Please consult a doctor if it continues. 👍,Negative
i feel sick?,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick,I'm sorry. Please consult a doctor if it continues. 👍,Negative
i feel sick dear,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick dear,I'm sorry. Please consult a doctor if it continues. 😊,Negative
i feel sick!,I'm sorry. Please consult a doctor if it continues. ❤️,Negative
headache again,Try to rest and drink plenty of water. 😊,Negative
headache,Try to rest and drink plenty of water.!,Negative
headache please,Try to rest and drink plenty of water. Let me know if you need more help.,Negative
headache.,Try to rest and drink plenty of water. 😊,Negative
headache.,Try to rest and drink plenty of water..,Negative
headache now,Try to rest and drink plenty of water.,Negative
headache please,Try to rest and drink plenty of water..,Negative
headache now,Try to rest and drink plenty of water. 👍,Negative
headache dear,Try to rest and drink plenty of water..,Negative
headache again,Try to rest and drink plenty of water. 😊,Negative
headache!,Try to rest and drink plenty of water.,Negative
headache please,Try to rest and drink plenty of water.,Negative
headache again,Try to rest and drink plenty of water. 👍,Negative
headache?,Try to rest and drink plenty of water.!,Negative
headache?,Try to rest and drink plenty of water. ❤️,Negative
headache again,Try to rest and drink plenty of water. 😊,Negative
headache again,Try to rest and drink plenty of water. ❤️,Negative
headache bro,Try to rest and drink plenty of water. 👍,Negative
headache again,Try to rest and drink plenty of water. 😊,Negative
headache again,Try to rest and drink plenty of water. ❤️,Negative
headache.,Try to rest and drink plenty of water. 👍,Negative
headache?,Try to rest and drink plenty of water. Let me know if you need more help.,Negative
headache!,Try to rest and drink plenty of water.!,Negative
headache okay,Try to rest and drink plenty of water. Let me know if you need more help.,Negative
headache.,Try to rest and drink plenty of water.!,Negative
headache again,Try to rest and drink plenty of water. 👍,Negative
headache okay,Try to rest and drink plenty of water. 👍,Negative
headache okay,Try to rest and drink plenty of water..,Negative
headache again,Try to rest and drink plenty of water..,Negative
headache dear,Try to rest and drink plenty of water.,Negative
i didn’t understand?,"No worries, let me explain again. Let me know if you need more help.",Negative
i didn’t understand,"No worries, let me explain again. ❤️",Negative
i didn’t understand okay,"No worries, let me explain again. ❤️",Negative
i didn’t understand.,"No worries, let me explain again. Let me know if you need more help.",Negative
i didn’t understand dear,"No worries, let me explain again.!",Negative
i didn’t understand.,"No worries, let me explain again.",Negative
i didn’t understand?,"No worries, let me explain again. 😊",Negative
i didn’t understand please,"No worries, let me explain again.!",Negative
i didn’t understand dear,"No worries, let me explain again. ❤️",Negative
i didn’t understand now,"No worries, let me explain again..",Negative
i didn’t understand,"No worries, let me explain again.!",Negative
i didn’t understand again,"No worries, let me explain again. ❤️",Negative
i didn’t understand now,"No worries, let me explain again. ❤️",Negative
i didn’t understand dear,"No worries, let me explain again. 👍",Negative
i didn’t understand dear,"No worries, let me explain again.",Negative
i didn’t understand dear,"No worries, let me explain again. Let me know if you need more help.",Negative
i didn’t understand?,"No worries, let me explain again..",Negative
i didn’t understand,"No worries, let me explain again. 👍",Negative
i didn’t understand bro,"No worries, let me explain again. 😊",Negative
i didn’t understand bro,"No worries, let me explain again. Let me know if you need more help.",Negative
i didn’t understand okay,"No worries, let me explain again. 👍",Negative
i didn’t understand okay,"No worries, let me explain again.!",Negative
i didn’t understand okay,"No worries, let me explain again.!",Negative
i didn’t understand okay,"No worries, let me explain again. 👍",Negative
i didn’t understand.,"No worries, let me explain again.",Negative
i didn’t understand,"No worries, let me explain again.",Negative
i didn’t understand?,"No worries, let me explain again. 👍",Negative
i didn’t understand again,"No worries, let me explain again. 👍",Negative
i didn’t understand please,"No worries, let me explain again.",Negative
i didn’t understand now,"No worries, let me explain again.!",Negative
miss you bro,I miss you too! Let's catch up soon. 😊,Negative
miss you again,I miss you too! Let's catch up soon. 👍,Negative
miss you dear,I miss you too! Let's catch up soon.,Negative
miss you.,I miss you too! Let's catch up soon. 😊,Negative
miss you please,I miss you too! Let's catch up soon.!,Negative
miss you okay,I miss you too! Let's catch up soon. 😊,Negative
miss you bro,I miss you too! Let's catch up soon.!,Negative
miss you okay,I miss you too! Let's catch up soon..,Negative
miss you now,I miss you too! Let's catch up soon. 👍,Negative
miss you bro,I miss you too! Let's catch up soon. ❤️,Negative
miss you now,I miss you too! Let's catch up soon. 👍,Negative
miss you again,I miss you too! Let's catch up soon.!,Negative
miss you,I miss you too! Let's catch up soon. Let me know if you need more help.,Negative
miss you please,I miss you too! Let's catch up soon.,Negative
miss you please,I miss you too! Let's catch up soon.,Negative
miss you,I miss you too! Let's catch up soon. 👍,Negative
miss you dear,I miss you too! Let's catch up soon. 😊,Negative
miss you again,I miss you too! Let's catch up soon..,Negative
miss you bro,I miss you too! Let's catch up soon.!,Negative
miss you now,I miss you too! Let's catch up soon. Let me know if you need more help.,Negative
miss you?,I miss you too! Let's catch up soon. ❤️,Negative
miss you now,I miss you too! Let's catch up soon. 👍,Negative
miss you dear,I miss you too! Let's catch up soon. 👍,Negative
miss you,I miss you too! Let's catch up soon..,Negative
miss you please,I miss you too! Let's catch up soon. ❤️,Negative
miss you dear,I miss you too! Let's catch up soon. 😊,Negative
miss you okay,I miss you too! Let's catch up soon. 👍,Negative
miss you?,I miss you too! Let's catch up soon..,Negative
miss you dear,I miss you too! Let's catch up soon. Let me know if you need more help.,Negative
miss you okay,I miss you too! Let's catch up soon..,Negative
when is the test bro,The test is next Monday.!,Negative
when is the test?,The test is next Monday.!,Negative
when is the test?,The test is next Monday. ❤️,Negative
when is the test again,The test is next Monday.,Negative
when is the test.,The test is next Monday.!,Negative
when is the test bro,The test is next Monday. 😊,Negative
when is the test please,The test is next Monday. 👍,Negative
when is the test,The test is next Monday. 👍,Negative
when is the test dear,The test is next Monday.!,Negative
when is the test okay,The test is next Monday..,Negative
when is the test okay,The test is next Monday. 👍,Negative
when is the test okay,The test is next Monday. 👍,Negative
when is the test?,The test is next Monday.,Negative
when is the test dear,The test is next Monday.,Negative
when is the test?,The test is next Monday.!,Negative
when is the test!,The test is next Monday.,Negative
when is the test!,The test is next Monday.!,Negative
when is the test bro,The test is next Monday. ❤️,Negative
when is the test dear,The test is next Monday. 😊,Negative
when is the test bro,The test is next Monday. Let me know if you need more help.,Negative
when is the test?,The test is next Monday. 👍,Negative
when is the test now,The test is next Monday. 😊,Negative
when is the test dear,The test is next Monday. Let me know if you need more help.,Negative
when is the test,The test is next Monday.,Negative
when is the test bro,The test is next Monday. 👍,Negative
when is the test,The test is next Monday. 😊,Negative
when is the test bro,The test is next Monday.,Negative
when is the test,The test is next Monday. Let me know if you need more help.,Negative
when is the test,The test is next Monday.,Negative
when is the test.,The test is next Monday. ❤️,Negative
I’m feeling really sad today,I’m sorry you’re feeling that way. Remember, tough days don’t last ❤️,Negative
